timestamp panPosition tiltPosition panCtrlType panSetValue tiltCtrlType tiltSetValue local.lat local.lon local.elev object.lat object.lon object.elev object.x object.y object.z estObject.x estObject.y estObject.z estObject.lat estObject.lon estObject.elev 
1426593816.093 3141263 13915 2 96.9608 2 13.3632 47.6028591 8.5340164 422.137 47.6041327 8.5330802 456.267 -78.5689 137.41 35.628 -69.9074 142.517 37.7093 47.6041408326745 8.53308677853467 459.84832198139 
1426593816.293 3142035 14117 2 97.8614 2 13.5232 47.6028586 8.5340157 422.099 47.6041327 8.5330802 456.267 -78.5689 137.41 35.628 -67.7447 143.792 38.229 47.6041518014771 8.5331148372209 460.330004943423 
1426593816.493 3142833 14285 2 98.7599 2 13.6794 47.602858 8.534015 422.036 47.6041327 8.5330802 456.267 -78.5689 137.41 35.628 -65.5807 145.068 38.749 47.6041626773908 8.53314291375452 460.787011296386 
1426593816.693 3144707 14446 2 98.0007 2 11.7801 47.602858 8.534015 422.049 47.6041327 8.5330802 456.267 -66.8902 142.88 32.901 -66.8902 142.88 32.901 47.604143 8.5331255 454.952 
1426593816.893 3145039 13767 2 98.9272 2 12.0158 47.6028582 8.5340153 422.093 47.6041327 8.5330802 456.267 -66.8902 142.88 32.901 -64.4258 143.631 33.5058 47.6041499541661 8.53315857161757 455.600733244371 
1426593817.093 3145496 12651 2 99.8722 2 12.2528 47.6028579 8.5340153 422.079 47.6041327 8.5330802 456.267 -66.8902 142.88 32.901 -61.9221 144.394 34.1202 47.6041565159883 8.53319186558559 456.20110641893 
1426593817.293 3146547 12938 2 100.82 2 12.4868 47.6028575 8.5340151 422.023 47.6041327 8.5330802 456.267 -66.8902 142.88 32.901 -59.4191 145.157 34.7344 47.6041629759284 8.53322495043162 456.759312369762 
1426593817.493 3146879 13187 2 101.767 2 12.7167 47.6028569 8.534015 421.95 47.6041327 8.5330802 456.267 -66.8902 142.88 32.901 -56.9282 145.916 35.3456 47.6041692027105 8.53325797443086 457.297551213109 
1426593817.693 3148250 13432 2 102.716 2 12.9435 47.6028565 8.534015 421.976 47.6041327 8.5330802 456.267 -66.8902 142.88 32.901 -54.4357 146.676 35.9572 47.6041756335965 8.53329111850563 457.935161378342 
1426593817.893 3148564 13671 2 103.666 2 13.1667 47.6028565 8.5340153 422.01 47.6041327 8.5330802 456.267 -66.8902 142.88 32.901 -51.9462 147.434 36.5682 47.6041824566778 8.53332452476945 458.580074924696 
1426593818.093 3150105 13907 2 107.503 2 10.3255 47.6028565 8.5340153 422.01 47.604165 8.5334251 450.339 -40.3371 144.837 27.3922 -40.3371 144.837 27.3922 47.6041591 8.5334789 449.404 
1426593818.293 3150392 13297 2 108.426 2 10.6381 47.6028571 8.5340158 421.905 47.604165 8.5334251 450.339 -40.3371 144.837 27.3922 -37.6596 144.189 27.9921 47.6041538764735 8.53351500534962 449.898825531412 
1426593818.493 3151966 11444 2 109.374 2 10.9561 47.6028574 8.5340163 421.833 47.604165 8.5334251 450.339 -40.3371 144.837 27.3922 -34.9535 143.535 28.5984 47.6041482906861 8.53355149125307 450.433063398768 
1426593818.693 3154667 11359 2 110.335 2 11.2744 47.602858 8.534017 421.779 47.604165 8.5334251 450.339 -40.3371 144.837 27.3922 -32.2609 142.884 29.2016 47.604143034233 8.53358799770599 450.982279599756 
1426593818.894 3155525 11911 2 111.307 2 11.5926 47.6028582 8.5340171 421.862 47.604165 8.5334251 450.339 -40.3371 144.837 27.3922 -29.5814 142.236 29.8019 47.6041374062991 8.5336237295614 451.665555652903 
1426593819.094 3156116 12249 2 112.299 2 11.9132 47.602858 8.5340173 421.838 47.604165 8.5334251 450.339 -40.3371 144.837 27.3922 -26.8908 141.585 30.4047 47.6041313542765 8.53365970874689 452.244315230313 
1426593819.294 3158408 12586 2 111.867 2 9.76675 47.6028582 8.534017 421.796 47.604165 8.5334251 450.339 -27.5005 139.055 24.3994 -27.5005 139.055 24.3994 47.6041088 8.5336513 446.197 
1426593819.494 3159306 11897 2 112.701 2 10.163 47.6028585 8.5340169 421.834 47.604165 8.5334251 450.339 -27.5005 139.055 24.3994 -25.0996 137.429 25.0434 47.6040944781302 8.53368312773785 446.878917800842 
1426593819.694 3160028 10713 2 113.569 2 10.5722 47.6028585 8.5340169 421.818 47.604165 8.5334251 450.339 -27.5005 139.055 24.3994 -22.673 135.786 25.6942 47.6040797002279 8.53371539616657 447.513708496112 
1426593819.894 3160780 11165 2 114.458 2 10.9875 47.6028586 8.5340167 421.806 47.604165 8.5334251 450.339 -27.5005 139.055 24.3994 -20.26 134.152 26.3414 47.6040651050824 8.53374728385129 448.148855773098 
1426593820.094 3161732 11605 2 115.369 2 11.409 47.6028586 8.5340167 421.806 47.6040477 8.5337567 443.19 -27.5005 139.055 24.3994 -17.859 132.526 26.9854 47.6040504826135 8.53377921280131 448.792803461427 
1426593820.294 3162450 12046 2 116.32 2 11.8449 47.6028588 8.5340172 421.766 47.6040477 8.5337567 443.19 -27.5005 139.055 24.3994 -15.4235 130.877 27.6386 47.6040358502572 8.53381210002788 449.405995626104 
1426593820.494 3163434 12499 2 117.289 2 12.2845 47.6028589 8.5340173 421.738 47.6040477 8.5337567 443.19 -27.5005 139.055 24.3994 -13.012 129.244 28.2854 47.6040212642187 8.53384426772024 450.024745163578 
1426593820.694 3164316 12965 2 118.291 2 12.7341 47.6028594 8.5340172 421.697 47.6040477 8.5337567 443.19 -27.5005 139.055 24.3994 -10.5885 127.603 28.9354 47.6040070048291 8.53387639554397 450.633726125106 
1426593820.894 3165115 13444 2 119.319 2 13.1894 47.6028594 8.5340172 421.697 47.6040477 8.5337567 443.19 -27.5005 139.055 24.3994 -8.17401 125.968 29.583 47.6039923005285 8.53390850302749 451.281281803116 
1426593821.094 3166479 13926 2 120.38 2 13.6535 47.6028594 8.5340173 421.673 47.6040477 8.5337567 443.19 -27.5005 139.055 24.3994 -5.75041 124.327 30.2331 47.6039775406823 8.53394083176824 451.907284884753 
1426593821.294 3166855 14404 2 118.116 2 8.59704 47.6028597 8.5340174 421.657 47.6040477 8.5337567 443.19 -9.79104 113.759 17.262 -9.79104 113.759 17.262 47.6038828 8.5338872 438.92 
1426593821.494 3168613 13923 2 118.351 2 9.26384 47.6028599 8.5340174 421.659 47.6040477 8.5337567 443.19 -9.79104 113.759 17.262 -9.04917 110.464 18.078 47.6038533723171 8.53389706535726 439.73799628444 
1426593821.694 3168891 11536 2 118.601 2 9.96652 47.6028603 8.5340176 421.68 47.6040477 8.5337567 443.19 -9.79104 113.759 17.262 -8.31004 107.182 18.8911 47.6038242538364 8.53390709434023 440.571986834384 
